iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
1,"[0.97702806 0.42869346 0.30627068 0.49260761 0.26017704 0.75568249
 0.         0.0238834 ]","[9.54985893e-01 5.82006740e-01 5.82208253e-01 6.75907868e-01
 3.28675738e-01 7.04688877e-01 2.17042454e-05 8.48960479e-02]",0.3804554036788861,"[ 8.80777543e-03 -8.18825541e-02 -6.53626380e-02 -2.85055750e-02
 -1.02509861e-01  1.34900361e-01 -9.95000000e+00 -8.67906442e-02]","[3.210197017042273, 3.9437022704568165, 9.66714335281471, 4.102492504039812, 6.239545749036593, 5.340194652300781, 5.024885634734212, 6.421699410455349, 4.399335518087397, 13.218361784627001, 2.9667650701417414, 12.255185507244013, 8.092350026507933, 2.952199179706914, 3.390952883758228, 8.887049436464869, 3.786809361687875, 4.932013335546753, 17.183223025763716, 1.4956030591796132, 1.3678684223122124, 3.376246003720681, 2.4727676010243638, 7.1628933041250695, 4.278132097141572, 0.8629477213289944]",5.655021689586519,-3.0657288607987216
2,"[0.97702806 0.42869346 0.30627068 0.49260761 0.26017704 0.75568249
 0.         0.0238834 ]","[9.56528004e-01 5.73567545e-01 5.60410511e-01 6.67162428e-01
 3.18052666e-01 7.12636905e-01 2.13000352e-05 8.36317317e-02]",0.3538892018767095,"[ 0.05867662 -0.13178825 -0.11521296 -0.07842656 -0.15211318  0.18449938
 -9.94999993 -0.13675959]","[0.7985228230723428, 0.16416126652101465, 4.773632671254415, 0.8326642997925746, 6.239545749036593, 0.4447254154457461, 7.420745617210839, 4.703406075942657, 0.6476015585410364, 5.868100642336218, 1.9387249801651387, 12.255185507244013, 4.189778332186505, 2.952199179706914, 0.6560301988397523, 1.6482925991919604, 1.34116539760504, 7.8630155462008275, 17.183223025763716, 0.725660436989642, 0.8347755696251324, 2.2761806339052244, 0.20150316342421418, 4.699964357387771, 1.9766486003224553, 1.7002020897487962]",3.6282944514407895,-3.02648463961103
3,"[0.97702806 0.42869346 0.30627068 0.49260761 0.26017704 0.75568249
 0.         0.0238834 ]","[9.58013467e-01 5.65149931e-01 5.38879501e-01 6.58455225e-01
 3.07689520e-01 7.20434791e-01 2.08587855e-05 8.23323333e-02]",0.32788768567341553,"[ 0.10831926 -0.1815286  -0.16479614 -0.12821037 -0.20094547  0.23331242
 -9.94999981 -0.1866746 ]","[0.7985228230723428, 0.16416126652101465, 2.3486554230000007, 0.8326642997925746, 6.239545749036593, 0.4447254154457461, 7.420745617210839, 5.671651761104996, 0.6476015585410364, 5.868100642336218, 1.9387249801651387, 12.255185507244013, 3.9026421260876205, 2.952199179706914, 0.6560301988397523, 0.96693040103365, 1.34116539760504, 8.560188730860798, 17.183223025763716, 0.725660436989642, 0.8347755696251324, 2.2761806339052244, 0.20150316342421418, 4.699964357387771, 0.9581246959856938, 1.7002020897487962]",3.5226567327090184,-2.990344484151902
4,"[0.97702806 0.42869346 0.30627068 0.49260761 0.26017704 0.75568249
 0.         0.0238834 ]","[9.59437388e-01 5.56775187e-01 5.17771416e-01 6.49809207e-01
 2.97700193e-01 7.27988731e-01 2.03870497e-05 8.09917573e-02]",0.30264758742956077,"[ 0.15763606 -0.23102623 -0.21398185 -0.17779488 -0.24853252  0.2808456
 -9.94999963 -0.23651079]","[0.7985228230723428, 0.16416126652101465, 2.3486554230000007, 0.8326642997925746, 6.239545749036593, 0.4447254154457461, 7.420745617210839, 5.671651761104996, 0.6476015585410364, 5.868100642336218, 1.9387249801651387, 12.255185507244013, 3.9026421260876205, 2.952199179706914, 0.6560301988397523, 0.96693040103365, 1.34116539760504, 6.112419458984192, 7.10676585243895, 0.725660436989642, 0.8347755696251324, 2.2761806339052244, 0.20150316342421418, 4.699964357387771, 0.9581246959856938, 1.7002020897487962]",3.040955715585888,-2.957312121640981
5,"[0.97702806 0.42869346 0.30627068 0.49260761 0.26017704 0.75568249
 0.         0.0238834 ]","[9.60796313e-01 5.48464318e-01 4.97243200e-01 6.41246602e-01
 2.88200106e-01 7.35197258e-01 1.98925936e-05 7.96029823e-02]",0.2783562331483255,"[ 0.20652383 -0.28019736 -0.26262789 -0.22711404 -0.29429312  0.32648763
 -9.94999939 -0.28624095]","[0.7985228230723428, 0.16416126652101465, 2.3486554230000007, 0.8326642997925746, 6.239545749036593, 0.4447254154457461, 7.420745617210839, 5.671651761104996, 0.6476015585410364, 3.45596131421364, 1.9387249801651387, 10.957191243216547, 3.9026421260876205, 2.952199179706914, 0.6560301988397523, 0.96693040103365, 1.34116539760504, 6.112419458984192, 7.10676585243895, 0.725660436989642, 0.8347755696251324, 2.2761806339052244, 0.20150316342421418, 4.699964357387771, 0.9581246959856938, 1.7002020897487962]",2.8982582697339634,-2.9273513689642807
6,"[0.97702806 0.42869346 0.30627068 0.49260761 0.26017704 0.75568249
 0.         0.0238834 ]","[9.62088405e-01 5.40237752e-01 4.77447547e-01 6.32788525e-01
 2.79302667e-01 7.41953520e-01 1.93841787e-05 7.81582223e-02]",0.25518143313791286,"[ 0.25487679 -0.32895173 -0.31058207 -0.27609815 -0.33754536  0.36951824
 -9.94999908 -0.33583509]","[0.7985228230723428, 0.16416126652101465, 2.3486554230000007, 0.8326642997925746, 6.239545749036593, 0.4447254154457461, 7.420745617210839, 5.671651761104996, 0.6476015585410364, 3.45596131421364, 1.9387249801651387, 10.957191243216547, 3.9026421260876205, 0.5802457862529243, 0.6560301988397523, 0.96693040103365, 1.34116539760504, 6.112419458984192, 2.333912924083471, 0.725660436989642, 0.8347755696251324, 2.2761806339052244, 0.20150316342421418, 4.699964357387771, 0.9581246959856938, 1.7002020897487962]",2.623458026587446,-2.900381248930274
7,"[0.97702806 0.42869346 0.30627068 0.49260761 0.26017704 0.75568249
 0.         0.0238834 ]","[9.63313504e-01 5.32115205e-01 4.58526908e-01 6.24454823e-01
 2.71114411e-01 7.48149691e-01 1.88712171e-05 7.66495494e-02]",0.2332604347695145,"[ 0.30258749 -0.37719264 -0.35768472 -0.32467401 -0.37753422  0.40914397
 -9.94999872 -0.38525993]","[0.7985228230723428, 0.16416126652101465, 2.3486554230000007, 0.8326642997925746, 6.239545749036593, 0.4447254154457461, 7.420745617210839, 5.671651761104996, 0.6476015585410364, 3.45596131421364, 1.9387249801651387, 10.957191243216547, 3.9026421260876205, 0.5802457862529243, 0.6560301988397523, 0.96693040103365, 1.34116539760504, 6.112419458984192, 2.333912924083471, 0.725660436989642, 0.8347755696251324, 2.2761806339052244, 0.20150316342421418, 2.257555394048533, 0.9581246959856938, 1.7002020897487962]",2.5295192203051675,-2.8762731265971104
8,"[0.97702806 0.42869346 0.30627068 0.49260761 0.26017704 0.75568249
 0.         0.0238834 ]","[9.64473050e-01 5.24115787e-01 4.40606715e-01 6.16264299e-01
 2.63728604e-01 7.53684222e-01 1.83632694e-05 7.50701557e-02]",0.2126896517672871,"[ 0.34954754 -0.42481712 -0.40377203 -0.37276528 -0.41348523  0.44456692
 -9.9499983  -0.43447849]","[0.7985228230723428, 0.16416126652101465, 2.3486554230000007, 0.8326642997925746, 6.239545749036593, 0.4447254154457461, 7.420745617210839, 5.671651761104996, 0.6476015585410364, 3.45596131421364, 1.9387249801651387, 10.957191243216547, 3.9026421260876205, 0.5802457862529243, 0.6560301988397523, 0.96693040103365, 1.34116539760504, 6.112419458984192, 2.333912924083471, 0.725660436989642, 0.8347755696251324, 2.2761806339052244, 0.20150316342421418, 2.257555394048533, 0.9581246959856938, 1.7002020897487962]",2.5295192203051675,-2.854851721955943
9,"[0.97702806 0.42869346 0.30627068 0.49260761 0.26017704 0.75568249
 0.         0.0238834 ]","[9.65569836e-01 5.16258358e-01 4.23788601e-01 6.08235348e-01
 2.57217729e-01 7.58471808e-01 1.78693982e-05 7.34162252e-02]",0.1935179011642574,"[ 0.39564809 -0.47171621 -0.44867985 -0.42029278 -0.4446804   0.47507909
 -9.94999783 -0.48344965]","[0.7985228230723428, 0.16416126652101465, 2.3486554230000007, 0.8326642997925746, 6.239545749036593, 0.4447254154457461, 7.420745617210839, 5.671651761104996, 0.6476015585410364, 3.45596131421364, 1.9387249801651387, 10.957191243216547, 3.9026421260876205, 0.5802457862529243, 0.6560301988397523, 0.96693040103365, 1.34116539760504, 6.112419458984192, 2.333912924083471, 0.725660436989642, 0.8347755696251324, 2.2761806339052244, 0.20150316342421418, 2.257555394048533, 0.9581246959856938, 1.7002020897487962]",2.5295192203051675,-2.835901870997678
10,"[0.97702806 0.42869346 0.30627068 0.49260761 0.26017704 0.75568249
 0.         0.0238834 ]","[9.66607595e-01 5.08562034e-01 4.08144981e-01 6.00386871e-01
 2.51626269e-01 7.62454363e-01 1.73974678e-05 7.16890187e-02]",0.17574603857134102,"[ 0.44078019 -0.51777536 -0.49224774 -0.46717508 -0.47054086  0.50015809
 -9.94999732 -0.53212812]","[0.7985228230723428, 0.16416126652101465, 2.3486554230000007, 0.8326642997925746, 6.239545749036593, 0.41914321302544894, 7.420745617210839, 5.671651761104996, 0.6476015585410364, 3.45596131421364, 1.9387249801651387, 10.957191243216547, 3.9026421260876205, 0.5802457862529243, 0.6560301988397523, 0.96693040103365, 1.34116539760504, 6.112419458984192, 7.10676585243895, 0.725660436989642, 0.8347755696251324, 2.2761806339052244, 0.20150316342421418, 2.257555394048533, 0.9581246959856938, 1.7002020897487962]",2.712106555918059,-2.819181735166019
